ImageID,Num_of_Positive,Num_of_Neutral,Num_of_Negative
1021869755580937544_1951381916,0,0,3
1060578363812373845_606965024,0,0,3
1063712158032570204_1806164840,0,0,3
1016040140769844249_347977038,0,0,3
1060410108321200905_501573581,0,0,3
725444560153306219_538422904,0,0,3
1058368211704371835_1501278349,0,0,3
971773576832577178_780663546,0,0,3
1009610223029337277_460234366,0,0,3
1054868066473346434_273185768,0,0,3
1061441273905926309_568786651,0,0,3
907603399693848251_286663090,0,0,3
1051090844574251635_1380585221,0,0,3
1065779870053511221_253929939,0,0,3
1061747534434450398_1447346837,0,0,3
1057536028228985814_1470804359,0,0,3
1066115519781202457_2157966465,0,0,3
1062550284518803355_2016178824,0,0,3
971070014698038244_273231799,0,0,3
1060306770209734763_752919799,0,0,3
1063532173157080439_186353718,0,0,3
1064076129428092646_364205556,0,0,3
1066028343892212624_867068165,0,0,3
1065930517564846929_498098291,0,0,3
1068137623450678493_1565935124,0,0,3
1059238890786674945_257446941,0,0,3
954451638616776690_2255694,0,0,3
1046890536399172882_1487544764,0,0,3
1056530478024925428_2074045807,0,0,3
888681815672460164_285120099,0,0,3
958012079484122217_197363020,0,0,3
1065576470187940852_314231093,0,0,3
1068329043017184063_8459459,0,0,3
1012542479936691374_7511958,0,0,3
1065912334669671060_231758161,0,0,3
1065563737421147432_2006055410,0,0,3
1066582840552782368_21267877,0,0,3
1063505002322424176_239139571,0,0,3
973465497277080428_774594903,0,0,3
836963046281065758_341343468,0,0,3
1012771411123902238_12538460,0,0,3
919409355951306806_11567429,0,0,3
1058932003092348578_25701838,0,0,3
1066150913711518439_768998819,0,0,3
1051867264418076888_29010021,0,0,3
1005892587497761612_144510041,0,0,3
1015467425250862400_283810952,0,0,3
904366868786995769_1159422967,0,0,3
976836830832177963_22089427,0,0,3
975467203959593592_195430901,0,0,3
777044942868398887_861938023,0,0,3
635021941820190239_42729442,0,0,3
1062196844461311601_371007576,0,0,3
865607690718274406_401576783,0,0,3
1045948017619822916_2124324153,0,0,3
1014044282889399728_947492266,0,0,3
1053318147367355752_1648784976,0,0,3
1061819288548229744_42986231,0,0,3
906539712695981119_15530468,0,0,3
1020571514843434325_1902857050,0,0,3
957007769822596284_1363621058,0,0,3
973465161437258440_532088047,0,0,3
1015332554050405409_391221056,0,0,3
1066645171903709223_1296083375,0,0,3
1064477429151840269_1262970269,0,0,3
1063606094558924192_1643637050,0,0,3
1064702334656674889_426188934,0,0,3
1053302909187593556_347600196,0,0,3
1065984747220454958_3450978,0,0,3
1013136738928683956_2130523961,0,0,3
1064331132920651208_347977038,0,0,3
1065438662185989404_2136301036,0,0,3
1053291077731489471_1911099484,0,0,3
946942826522939261_196750066,0,0,3
1066011283493065725_2116692659,0,0,3
1068041531461781319_2068012352,0,0,3
1045655492437890747_1783838220,0,0,3
893375206551598675_1635132444,0,0,3
1039532476691058907_196157499,0,0,3
1065196902546840878_1208722470,0,0,3
1060386726182559625_1208722470,0,0,3
720880274810244379_818677466,0,0,3
899449988730894580_1515100557,0,0,3
1029273953982228447_50457824,0,0,3
836306020505302822_51778916,0,0,3
1066328486348688635_1786463170,0,0,3
986151354144421223_392090796,0,0,3
388054716663025031_188266874,0,0,3
1063859806541656164_1621558787,0,0,3
1050222546926020547_1098742152,0,0,3
838459303999512050_543270198,0,0,3
1049588998097393338_1979059148,0,0,3
1015184771442635285_557708675,0,0,3
1054427824585133235_1472693026,0,0,3
1057177662747920088_284536104,0,0,3
976106457497459236_229436653,0,0,3
833373510551228018_265932066,0,0,3
1062470240763789033_1715107446,0,0,3
872459575964383947_9949013,0,0,3
681456891540506995_373345225,0,0,3
466431570406606004_25846856,0,0,3
998090793232998325_54983942,0,0,3
970358689344950680_204566955,0,0,3
333521753735570541_259509488,0,0,3
981378224373594209_1383031501,0,0,3
1050867866785509258_313992010,0,0,3
1068444192612934965_1135465376,0,0,3
1066839971076869989_866923682,0,0,3
1004454540760817206_557996254,0,0,3
1058323574928578938_37785645,0,0,3
1061009909622046789_2033283135,0,0,3
1063733905394703108_2141786477,0,0,3
880084859690166455_1556885521,0,0,3
1028170522878846479_1615658624,0,0,3
1034001998591884139_563351853,0,0,3
1063762287068221631_598247595,0,0,3
1017348849561716383_1641964560,0,0,3
1062195268600326000_1135465376,0,0,3
1066128378485472739_872836470,0,0,3
1065671774505791916_1487821275,0,0,3
1062132933476446213_1005721755,0,0,3
