ImageID,Num_of_Positive,Num_of_Neutral,Num_of_Negative
1059078183725152337_293479973,0,2,1
849129420666404181_10557526,0,2,1
1065360017575709051_573835065,0,2,1
1066177895742711050_1477516928,0,2,1
1046727999315043125_1972817103,0,2,1
1054391843431347777_532299828,0,2,1
1063474173194063030_1343705562,0,2,1
1065795407405185394_1067307109,0,2,1
984467121763387783_34909225,0,2,1
1064836425289234567_2100364285,0,2,1
1059534781341455425_21740468,0,2,1
1058920402303403894_178928408,0,2,1
752108546701252929_269337677,0,2,1
950792775057212384_1506764799,0,2,1
495781741433940263_5174825,0,2,1
918911405378681046_1682732477,0,2,1
933515633024234192_199458003,0,2,1
1065649084052619838_552482895,0,2,1
1064620988409433411_1459636138,0,2,1
1058679806633062159_241298978,0,2,1
885721461332608944_482647784,0,2,1
682226125991652775_1168338658,0,2,1
1064431686382810048_1594835283,0,2,1
819974963205773822_1015536541,0,2,1
1049557350241994612_29631216,0,2,1
1062320541631678113_725155928,0,2,1
1064770628569491201_1564737520,0,2,1
1023841637451528849_1460790861,0,2,1
1037119044355716090_104856883,0,2,1
1064774085833394774_1709942305,0,2,1
1040405645312034920_1835022209,0,2,1
1051309703961358600_1560410619,0,2,1
807822742774989149_231266391,0,2,1
792164117151098932_1319991673,0,2,1
1026253804927385297_632021470,0,2,1
1061389082226301696_1930581253,0,2,1
1042615666807150037_282619868,0,2,1
817361033050578353_56123702,0,2,1
1058148647188762192_44809034,0,2,1
959744438882845192_261019399,0,2,1
1057342980366548263_565950014,0,2,1
1065914707302767533_1550837389,0,2,1
1008009999949761620_1613580770,0,2,1
1063688640624192707_1289555378,0,2,1
806093573800687933_476885,0,2,1
1064475379198767984_1458054779,0,2,1
1013561021399587437_598278349,0,2,1
1003830211642693803_1544854389,0,2,1
1030306571147941468_377910388,0,2,1
1051020703249750810_27329629,0,2,1
1061754125069423614_493701123,0,2,1
1010641595970884511_1798451283,0,2,1
948538895530917211_37114286,0,2,1
1067067401859879548_266809211,0,2,1
1065121934176538162_3886138,0,2,1
1029949234788476236_365819136,0,2,1
1049578381068253473_1929115045,0,2,1
1050971314142580769_388846539,0,2,1
1068171773276546851_2051019056,0,2,1
876169182118120036_20189833,0,2,1
1068647654687445737_2051128267,0,2,1
1065314649571026862_2031338288,0,2,1
420944111062537848_239857868,0,2,1
1065699851974053854_1984986634,0,2,1
1064628030401439844_352500025,0,2,1
967049709044095497_412313573,0,2,1
1017890935298996446_26106421,0,2,1
1003956851194228310_28599122,0,2,1
736367853186570960_33403317,0,2,1
899479542193258844_18427623,0,2,1
1064709724944599276_14438713,0,2,1
1063561431245448143_6008127,0,2,1
1005359816360119051_1830316585,0,2,1
1055465377431078386_21175048,0,2,1
1065721262192362004_2111610927,0,2,1
844774335092924475_520866319,0,2,1
1014106762288733500_1636000678,0,2,1
1051784969752283500_1678927945,0,2,1
1056380137358889671_231265899,0,2,1
1062589319143137119_1208722470,0,2,1
1064955104033466805_55132521,0,2,1
742247940909312172_360752697,0,2,1
1050327760037352340_7314227,0,2,1
1058754893119054194_636641111,0,2,1
1063909363281185918_1627481426,0,2,1
833564237867063608_1477490581,0,2,1
1068618007692570582_1818736658,0,2,1
1065145591119793578_1294164402,0,2,1
1043855859295203033_2010610010,0,2,1
811141916740789079_261514327,0,2,1
679776979527892213_272244062,0,2,1
683924729352668590_42302800,0,2,1
1066265694481261266_226603943,0,2,1
1003396541148834245_1142190521,0,2,1
441424320752749178_314098041,0,2,1
320811687246983268_174732459,0,2,1
1060117791655183059_27697927,0,2,1
1065676948691921009_476726705,0,2,1
939201071754581419_211686604,0,2,1
971647040075350444_242969111,0,2,1
831361853423687451_276437116,0,2,1
1065880607075415823_1727213404,0,2,1
1052192915167782175_1478694232,0,2,1
1066307120725329120_18979960,0,2,1
1057260613273730923_287408150,0,2,1
1002957409877443440_1443106487,0,2,1
1064843313385472625_185754767,0,2,1
1053017147761889515_1308433971,0,2,1
1063157100291098088_1662564672,0,2,1
908110627964667424_605841488,0,2,1
563616461851603815_291043723,0,2,1
1046374017431010846_1944722846,0,2,1
1025691336516566861_24654350,0,2,1
881362263580188217_6372150,0,2,1
1053045503656023242_55238924,0,2,1
1056677224260195889_2024669500,0,2,1
944762013108608334_203786990,0,2,1
942764618755718429_512033950,0,2,1
1044843443793256149_39628158,0,2,1
1034493264570854106_2041864585,0,2,1
1066901045377940542_290694014,0,2,1
867662955885032087_270284795,0,2,1
1064058027218143304_2046303937,0,2,1
924133351848442635_1665255285,0,2,1
1039913278364332007_28946930,0,2,1
981884685634891911_654522683,0,2,1
1064796526987713462_1522137821,0,2,1
684355744217714770_261586555,0,2,1
1063868729890685226_1506274591,0,2,1
991118021427821448_263323165,0,2,1
1063318329336896165_323629709,0,2,1
894259727223694018_1642776735,0,2,1
1042400338208729641_2018612921,0,2,1
836242293279152187_46236013,0,2,1
1058178679898150593_1458378620,0,2,1
1047865776879642499_1447678272,0,2,1
1052208576192159668_457800870,0,2,1
1065622906199869895_1390361025,0,2,1
853289924976915181_249357763,0,2,1
1048947194732032769_300027379,0,2,1
655704886315099955_6444904,0,2,1
813252041091137832_225386615,0,2,1
1053858305237754940_1566404776,0,2,1
1065857227319798115_288742937,0,2,1
845770189605437495_27515767,0,2,1
1060873517513339116_2010290027,0,2,1
1042731647051443025_206375969,0,2,1
811117581721952874_272616815,0,2,1
816885572902965659_1469375371,0,2,1
1068622241382874964_564528406,0,2,1
872975818516722169_1536798195,0,2,1
1061791647356516488_184387653,0,2,1
1067156087270736479_206897751,0,2,1
1055317535891211747_1651950592,0,2,1
1015033643176430875_548841666,0,2,1
1036527178293103872_286623250,0,2,1
1028310312765034000_1667828778,0,2,1
1063505360949166750_1514681615,0,2,1
994314937443210289_1418827740,0,2,1
1061847490537437875_187097029,0,2,1
1001800913932396984_55046673,0,2,1
1060454540946107533_1976935698,0,2,1
978337851100514797_31967705,0,2,1
892819675665221806_371380081,0,2,1
389485167902805271_8172130,0,2,1
693708867951498711_43939708,0,2,1
1060702398015913194_1908732350,0,2,1
1032985219352869091_200424205,0,2,1
1044923255524593210_815811442,0,2,1
936849353671314372_994277177,0,2,1
836709091818212893_425907690,0,2,1
824297525736219376_353478943,0,2,1
558374946761942220_34618656,0,2,1
957321027013550028_183877534,0,2,1
1041550569708333287_181991161,0,2,1
523097438785557575_443528764,0,2,1
1062889834701773769_2060719469,0,2,1
776546550524990468_289046588,0,2,1
1065990386942029027_9117634,0,2,1
1051112877446084309_1197020204,0,2,1
972547185536223280_1554048153,0,2,1
1068596893728648569_1904269618,0,2,1
1068827276066508475_1466688154,0,2,1
1063757304094275451_1713734364,0,2,1
831214278238105144_680876882,0,2,1
1063248394532338614_1186261709,0,2,1
955158035901475184_248834377,0,2,1
1038376211023672454_143824620,0,2,1
994756541844465472_1101452216,0,2,1
820389293440057547_353135463,0,2,1
1056579550544879134_1150382774,0,2,1
827311550519042073_16254343,0,2,1
1064924951172041940_3450978,0,2,1
999416810865575336_32328216,0,2,1
1063433098324958626_35600854,0,2,1
1066786591618499368_189686151,0,2,1
